LIFNR,NAME1,NAME2,STCD1,STCEG,LAND1,ORT01,LOEVM
0000100001,Müller Präzisionstechnik GmbH,,DE811234567,DE811234567,DE,Stuttgart,
0000100002,Acme Europe Distribution B.V.,,NL812345678B01,NL812345678B01,NL,Rotterdam,
0000100003,International Business Machines Corporation,,US130871985,,US,Armonk,
0000100004,Nordwind Logistik GmbH & Co. KG,,DE815556677,DE815556677,DE,Hamburg,
0000100005,Delta Logistics Limited,,GB123456789,GB123456789,GB,Manchester,
0000100006,Delta Logistic Services Ltd,,GB987654321,GB987654321,GB,Leeds,
0000100007,Siemens Aktiengesellschaft,,DE129274202,DE129274202,DE,München,
0000100008,Sigma 3 Laboratories Inc.,,US451122334,,US,Boston,
0000100009,Sigma 5 Laboratories Inc.,,US451122999,,US,Boston,
0000100010,Kowalski i Synowie Sp. z o.o.,,PL5261040828,PL5261040828,PL,Warszawa,
0000100011,Bright Consulting Partners LLC,,US882233445,,US,Chicago,
0000100012,Établissements Dupont & Fils SARL,,FR40123456824,FR40123456824,FR,Lyon,
0000100013,Fabrikam Manufacturing,Holdings Pte Ltd,SG200312345K,,SG,Singapore,
0000100014,Northwind Traders Pty Ltd,,AU53004085616,,AU,Sydney,
0000100015,Contoso Pharmaceuticals AG,,CHE116281508,CHE116281508,CH,Basel,
0000100016,Old Name Industries Ltd,,GB556677889,GB556677889,GB,Birmingham,
0000100017,Zenith Elektro-Technik GmbH,,DE817778899,DE817778899,DE,Köln,X
0000100018,Pacific Rim Trading Co.,,US667788990,,US,Los Angeles,
0000100019,Global Tech Solutions Ltd,,IE9876543A,IE9876543A,IE,Dublin,
0000100020,Global Tech Solution Ltd,,GB334455667,GB334455667,GB,London,
